TCP COMPARISON EVENT LOG - TAHOE vs RENO
File: meow.txt
============================================================
Round 7: TIMEOUT seq 6, Tahoe CWND=1, Reno CWND=1
Round 9: TIMEOUT seq 8, Tahoe CWND=1, Reno CWND=1
Round 9: TRIPLE DUP ACK seq 8, Tahoe CWND=1, Reno CWND=5
Round 10: TRIPLE DUP ACK seq 9, Tahoe CWND=1, Reno CWND=5
Round 11: TRIPLE DUP ACK seq 10, Tahoe CWND=1, Reno CWND=5
Round 12: TRIPLE DUP ACK seq 11, Tahoe CWND=1, Reno CWND=5
Round 13: TRIPLE DUP ACK seq 12, Tahoe CWND=1, Reno CWND=5
Round 14: TRIPLE DUP ACK seq 13, Tahoe CWND=1, Reno CWND=5
Round 15: TRIPLE DUP ACK seq 14, Tahoe CWND=1, Reno CWND=5
Round 16: TRIPLE DUP ACK seq 15, Tahoe CWND=1, Reno CWND=5
Round 17: TRIPLE DUP ACK seq 16, Tahoe CWND=1, Reno CWND=5
Round 18: TRIPLE DUP ACK seq 17, Tahoe CWND=1, Reno CWND=5
Round 19: TRIPLE DUP ACK seq 18, Tahoe CWND=1, Reno CWND=5
Round 20: TRIPLE DUP ACK seq 19, Tahoe CWND=1, Reno CWND=5
Round 21: TRIPLE DUP ACK seq 20, Tahoe CWND=1, Reno CWND=5
Round 22: TRIPLE DUP ACK seq 21, Tahoe CWND=1, Reno CWND=5
Round 23: TRIPLE DUP ACK seq 22, Tahoe CWND=1, Reno CWND=5
Round 24: TRIPLE DUP ACK seq 23, Tahoe CWND=1, Reno CWND=5
Round 25: TRIPLE DUP ACK seq 24, Tahoe CWND=1, Reno CWND=5
Round 26: TRIPLE DUP ACK seq 25, Tahoe CWND=1, Reno CWND=5
Round 27: TRIPLE DUP ACK seq 26, Tahoe CWND=1, Reno CWND=5
Round 28: TRIPLE DUP ACK seq 27, Tahoe CWND=1, Reno CWND=5
Round 29: TRIPLE DUP ACK seq 28, Tahoe CWND=1, Reno CWND=5
Round 30: TRIPLE DUP ACK seq 29, Tahoe CWND=1, Reno CWND=5
Round 31: TRIPLE DUP ACK seq 30, Tahoe CWND=1, Reno CWND=5
Round 32: TRIPLE DUP ACK seq 31, Tahoe CWND=1, Reno CWND=5
Round 33: TRIPLE DUP ACK seq 32, Tahoe CWND=1, Reno CWND=5
Round 34: TRIPLE DUP ACK seq 33, Tahoe CWND=1, Reno CWND=5
Round 36: TRIPLE DUP ACK seq 35, Tahoe CWND=1, Reno CWND=5
Round 37: TRIPLE DUP ACK seq 36, Tahoe CWND=1, Reno CWND=5
