TimeIndex,SampleRTT,EstimatedRTT,TimeoutInterval
1,18,439.75,1161
2,0,384.78,1310
3,0,336.68,1367
4,0,294.60,1362
5,1,257.90,1315
6,0,225.66,1244
7,2,197.70,1157
8,1,173.12,1065
9,5,152.10,968
10,0,133.09,878
11,0,116.45,791
12,6,102.65,705
13,7,90.69,626
14,6,80.10,556
15,6,70.84,492
16,6,62.74,435
17,0,54.89,389
18,6,48.78,342
19,6,43.43,301
20,0,38.01,269
21,0,33.25,240
22,0,29.10,213
23,6,26.21,184
24,0,22.93,164
25,0,20.07,146
26,0,17.56,129
27,7,16.24,109
28,0,14.21,100
29,7,13.31,100
30,0,11.64,100
31,0,10.19,100
32,0,8.92,100
33,0,7.80,100
34,0,6.83,100
35,0,5.97,100
36,6,5.98,100
37,6,5.98,100
