Round,CWND
1,2
2,3
3,4
4,5
5,2
6,3
7,4
8,5
9,6
10,7
11,4
12,3
13,2
14,3
15,4
16,5
17,6
18,7
19,4
20,3
21,2
22,3
23,4
24,5
25,6
26,7
27,8
28,9
29,10
30,11
31,12
32,2
33,4
34,2
35,3
36,4
37,3
38,2
39,3
40,4
41,5
42,6
43,7
44,8
45,9
46,10
47,11
48,6
49,7
50,4
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,3
71,4
72,5
73,6
74,7
75,8
76,9
77,10
78,11
79,12
80,13
81,14
82,8
83,5
84,6
85,7
86,8
87,9
88,10
89,6
90,4
91,3
92,2
93,3
94,4
95,5
96,6
97,7
98,8
99,9
100,10
101,11
102,12
103,13
104,7
105,4
106,3
107,2
108,2
109,3
110,4
111,3
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,3
122,4
123,5
124,6
125,4
126,3
127,2
128,2
129,2
130,2
131,2
132,2
133,3
134,4
135,5
136,6
137,7
138,8
139,9
140,10
141,2
142,4
143,8
144,9
145,10
146,11
147,12
148,2
149,4
150,8
151,9
152,2
153,4
154,5
155,6
156,7
157,8
158,9
159,2
160,4
161,5
162,6
163,7
164,8
165,9
166,10
167,11
168,12
169,13
170,14
171,15
172,16
173,17
174,18
175,19
176,20
177,21
178,22
179,23
180,24
181,25
182,26
183,27
184,2
185,4
186,8
187,16
188,17
189,18
190,19
191,20
192,21
193,22
194,23
195,24
196,13
197,14
198,15
199,16
200,17
201,18
202,19
203,20
204,21
205,22
206,23
207,24
208,25
209,26
210,27
211,28
212,29
213,30
214,31
215,32
216,2
217,4
218,8
219,5
220,3
221,4
222,5
223,6
224,7
225,4
226,3
227,2
228,3
229,4
230,5
231,6
232,7
233,8
234,5
235,3
236,2
237,2
238,2
239,2
240,2
241,2
242,3
243,4
244,5
245,6
246,7
247,8
248,9
249,10
250,11
251,12
252,13
253,14
254,15
255,16
256,17
257,18
258,19
259,20
260,11
261,6
262,4
263,3
264,4
265,5
266,6
267,7
268,8
269,5
270,3
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,3
284,4
285,5
286,6
287,4
288,3
289,4
290,5
291,6
292,7
293,8
294,9
295,10
296,11
297,12
298,13
299,14
300,15
301,8
302,5
303,6
304,7
305,8
306,9
307,10
308,11
309,12
310,13
311,14
312,15
313,16
314,17
315,18
316,2
317,4
318,8
319,16
320,2
321,4
322,8
323,2
324,4
325,3
326,4
327,5
328,6
329,7
330,8
331,9
332,10
333,11
334,12
335,13
336,14
337,15
338,16
339,17
340,18
341,2
342,4
343,8
344,16
345,17
346,18
347,19
348,2
349,2
350,3
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,3
361,4
362,5
363,6
364,2
365,4
366,5
367,6
368,7
369,8
370,2
371,4
372,3
373,2
374,2
375,3
376,4
377,5
378,3
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,3
393,4
394,5
395,6
396,7
397,4
398,3
399,4
400,5
401,6
402,7
403,8
404,2
405,4
406,5
407,6
408,7
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,3
456,4
457,5
458,6
459,7
460,8
461,9
462,10
463,11
464,6
465,4
466,3
467,2
468,2
469,3
470,4
471,5
472,6
473,7
474,8
475,9
476,10
477,11
478,12
479,13
480,14
481,15
482,16
483,9
484,3
485,2
486,2
487,2
488,3
489,4
490,3
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,3
510,4
511,5
512,6
513,7
514,8
515,9
516,10
517,6
518,4
519,3
520,2
521,2
522,2
523,2
524,3
525,4
526,5
527,6
528,7
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,3
565,2
566,3
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,3
581,4
582,5
583,6
584,7
585,8
586,9
587,10
588,11
589,12
590,7
591,4
592,3
593,2
594,2
595,2
596,2
597,2
598,3
599,4
600,5
601,6
602,4
603,3
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,3
618,4
619,5
620,3
621,2
622,2
623,2
624,2
625,3
626,4
627,3
628,2
629,2
630,2
631,2
632,3
633,4
634,5
635,3
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,3
644,4
645,5
646,6
647,4
648,3
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,3
660,4
661,5
662,6
663,7
664,8
665,5
666,6
667,4
668,3
669,2
670,2
671,2
672,2
673,2
674,2
675,2
676,2
677,2
678,2
679,2
680,2
681,2
682,2
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,2
692,2
693,2
694,2
695,3
696,4
697,5
698,6
699,7
700,8
701,9
702,10
703,11
704,6
705,7
706,8
707,9
708,10
709,11
710,12
711,13
712,14
713,15
714,16
715,17
716,18
717,19
718,20
719,21
720,22
721,23
722,24
723,25
724,26
725,14
726,15
727,16
728,17
