TimeIndex,SampleRTT,EstimatedRTT,TimeoutInterval
1,1,437.63,1174
2,1,383.05,1317
3,0,335.17,1371
4,0,293.27,1363
5,0,256.61,1315
6,0,224.54,1243
7,0,196.47,1157
8,1,172.03,1063
9,0,150.53,969
10,0,131.71,877
11,1,115.37,789
12,0,100.95,707
13,1,88.46,630
14,0,77.40,561
15,1,67.85,497
16,0,59.37,441
17,0,51.95,390
18,0,45.46,344
19,5,40.40,300
20,0,35.35,265
21,0,30.93,234
22,0,27.06,206
23,0,23.68,182
24,0,20.72,160
25,0,18.13,140
26,0,15.86,123
27,0,13.88,108
28,0,12.15,100
29,5,11.25,100
30,0,9.85,100
31,0,8.62,100
32,1,7.66,100
33,0,6.71,100
34,6,6.62,100
35,0,5.79,100
36,0,5.07,100
37,6,5.18,100
38,0,4.54,100
39,0,3.97,100
40,0,3.47,100
41,0,3.04,100
42,0,2.66,100
43,6,3.08,100
44,0,2.69,100
45,0,2.36,100
46,0,2.06,100
47,0,1.80,100
48,0,1.58,100
49,0,1.38,100
50,0,1.21,100
51,0,1.06,100
52,6,1.67,100
53,0,1.47,100
54,0,1.28,100
55,0,1.12,100
56,0,0.98,100
57,5,1.48,100
58,0,1.30,100
59,7,2.01,100
60,0,1.76,100
61,0,1.54,100
62,0,1.35,100
63,0,1.18,100
64,0,1.03,100
65,0,0.90,100
66,0,0.79,100
67,0,0.69,100
68,0,0.60,100
69,0,0.53,100
70,0,0.46,100
71,0,0.41,100
72,0,0.35,100
73,0,0.31,100
74,0,0.27,100
75,0,0.24,100
76,0,0.21,100
77,0,0.18,100
78,0,0.16,100
79,6,0.89,100
80,0,0.78,100
81,0,0.68,100
82,0,0.60,100
83,0,0.52,100
84,1,0.58,100
85,0,0.51,100
86,0,0.44,100
87,0,0.39,100
88,0,0.34,100
89,0,0.30,100
90,0,0.26,100
91,0,0.23,100
92,0,0.20,100
93,1,0.30,100
94,0,0.26,100
95,0,0.23,100
96,1,0.33,100
97,6,1.04,100
98,0,0.91,100
99,0,0.79,100
100,0,0.69,100
101,0,0.61,100
102,0,0.53,100
103,0,0.46,100
104,0,0.41,100
105,0,0.36,100
106,0,0.31,100
107,0,0.27,100
108,0,0.24,100
109,0,0.21,100
110,0,0.18,100
111,1,0.28,100
112,0,0.25,100
113,0,0.22,100
114,0,0.19,100
115,0,0.17,100
116,0,0.15,100
