TCP Reno Event Log
==================
Round 1: TIMEOUT seq 0, CWND=1
Round 6: TIMEOUT seq 5, CWND=1
Round 11: TIMEOUT seq 10, CWND=1
Round 16: TIMEOUT seq 15, CWND=1
Round 95: TIMEOUT seq 94, CWND=1
Round 110: TIMEOUT seq 109, CWND=1
Round 120: TIMEOUT seq 119, CWND=1
Round 122: TIMEOUT seq 121, CWND=1
Round 147: TIMEOUT seq 146, CWND=1
Round 150: TIMEOUT seq 149, CWND=1
Round 253: TIMEOUT seq 252, CWND=1
Round 254: TIMEOUT seq 253, CWND=1
Round 256: TIMEOUT seq 255, CWND=1
Round 394: TIMEOUT seq 393, CWND=1
Round 402: TIMEOUT seq 401, CWND=1
Round 412: TIMEOUT seq 411, CWND=1
Round 413: TIMEOUT seq 412, CWND=1
Round 440: TIMEOUT seq 439, CWND=1
Round 442: TIMEOUT seq 441, CWND=1
Round 453: TIMEOUT seq 452, CWND=1
Round 568: TIMEOUT seq 567, CWND=1
Round 576: TIMEOUT seq 575, CWND=1
Round 634: TIMEOUT seq 633, CWND=1
Round 667: TIMEOUT seq 666, CWND=1
Round 690: TIMEOUT seq 689, CWND=1
Round 693: TIMEOUT seq 692, CWND=1
