Round,CWND
1,2
2,4
3,8
4,9
5,10
6,11
7,12
8,6
9,3
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,2
25,3
26,4
27,5
28,6
29,7
30,8
31,9
32,10
33,11
34,5
35,2
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,3
58,4
59,5
60,6
61,7
62,8
63,9
64,10
65,11
66,12
67,2
68,4
69,8
70,9
71,10
72,5
73,6
74,7
75,8
76,4
77,2
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,2
86,3
87,4
88,5
89,6
90,7
91,8
92,9
93,10
94,11
95,12
96,13
97,14
98,15
99,7
100,3
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,2
118,3
119,4
120,5
121,6
122,7
123,8
124,9
125,10
126,11
127,12
128,13
129,14
130,15
131,16
132,2
133,4
134,8
135,9
136,2
137,4
138,5
139,6
140,2
141,2
142,3
143,4
144,5
145,6
146,7
147,2
148,1
149,1
150,1
151,1
152,1
153,2
154,3
155,4
156,5
157,6
158,7
159,8
160,9
161,10
162,2
163,4
164,8
165,9
166,10
167,11
168,12
169,13
170,14
171,7
172,3
173,4
174,5
175,6
176,7
177,8
178,9
179,10
180,2
181,2
182,3
183,4
184,2
185,2
186,1
187,2
188,3
189,4
190,5
191,6
192,3
193,1
194,1
195,2
196,3
197,4
198,5
199,6
200,7
201,8
202,9
203,10
204,11
205,12
206,13
207,14
208,15
209,16
210,17
211,18
212,2
213,4
214,8
215,16
216,17
217,18
218,19
219,20
220,21
221,22
222,23
223,24
224,2
225,4
226,8
227,16
228,17
229,8
230,9
231,10
232,11
233,12
234,13
235,14
236,15
237,16
238,17
239,18
240,19
241,9
242,4
243,2
244,1
245,1
246,2
247,3
248,4
249,2
250,1
251,1
252,1
253,2
254,3
255,1
256,1
257,1
258,2
259,3
260,4
261,5
262,2
263,3
264,4
265,5
266,6
267,7
268,8
269,9
270,10
271,2
272,4
273,8
274,9
275,10
276,11
277,2
278,4
279,8
280,9
281,10
282,11
283,12
284,2
285,4
286,8
287,9
288,10
289,5
290,2
