TCP Event Log - TCP RENO
============================================================
Round 12: TRIPLE DUP ACK seq 11, CWND=11
Round 13: TRIPLE DUP ACK seq 12, CWND=7
Round 14: TRIPLE DUP ACK seq 13, CWND=5
Round 15: TRIPLE DUP ACK seq 14, CWND=4
Round 16: TRIPLE DUP ACK seq 15, CWND=4
Round 17: TRIPLE DUP ACK seq 16, CWND=4
Round 18: TRIPLE DUP ACK seq 17, CWND=4
Round 19: TRIPLE DUP ACK seq 18, CWND=4
Round 20: TRIPLE DUP ACK seq 19, CWND=4
Round 21: TRIPLE DUP ACK seq 20, CWND=4
Round 22: TRIPLE DUP ACK seq 21, CWND=4
Round 23: TRIPLE DUP ACK seq 22, CWND=4
Round 24: TRIPLE DUP ACK seq 23, CWND=4
Round 25: TRIPLE DUP ACK seq 24, CWND=4
Round 26: TRIPLE DUP ACK seq 25, CWND=4
Round 27: TRIPLE DUP ACK seq 26, CWND=4
Round 28: TRIPLE DUP ACK seq 27, CWND=4
Round 29: TRIPLE DUP ACK seq 28, CWND=4
Round 30: TRIPLE DUP ACK seq 29, CWND=4
Round 31: TRIPLE DUP ACK seq 30, CWND=4
Round 32: TRIPLE DUP ACK seq 31, CWND=4
Round 33: TRIPLE DUP ACK seq 32, CWND=4
Round 34: TRIPLE DUP ACK seq 33, CWND=4
Round 35: TRIPLE DUP ACK seq 34, CWND=4
Round 36: TRIPLE DUP ACK seq 35, CWND=4
Round 37: TRIPLE DUP ACK seq 36, CWND=4
Round 38: TRIPLE DUP ACK seq 37, CWND=4
Round 39: TRIPLE DUP ACK seq 38, CWND=4
Round 40: TRIPLE DUP ACK seq 39, CWND=4
Round 41: TRIPLE DUP ACK seq 40, CWND=4
Round 42: TRIPLE DUP ACK seq 41, CWND=4
Round 43: TRIPLE DUP ACK seq 42, CWND=4
Round 44: TRIPLE DUP ACK seq 43, CWND=4
Round 45: TRIPLE DUP ACK seq 44, CWND=4
Round 46: TRIPLE DUP ACK seq 45, CWND=4
Round 47: TRIPLE DUP ACK seq 46, CWND=4
Round 48: TRIPLE DUP ACK seq 47, CWND=4
Round 49: TRIPLE DUP ACK seq 48, CWND=4
Round 50: TRIPLE DUP ACK seq 49, CWND=4
Round 51: TRIPLE DUP ACK seq 50, CWND=4
Round 52: TRIPLE DUP ACK seq 51, CWND=4
Round 53: TRIPLE DUP ACK seq 52, CWND=4
Round 54: TRIPLE DUP ACK seq 53, CWND=4
Round 55: TRIPLE DUP ACK seq 54, CWND=4
Round 56: TRIPLE DUP ACK seq 55, CWND=4
Round 57: TRIPLE DUP ACK seq 56, CWND=4
Round 58: TRIPLE DUP ACK seq 57, CWND=4
Round 59: TRIPLE DUP ACK seq 58, CWND=4
Round 60: TRIPLE DUP ACK seq 59, CWND=4
Round 61: TRIPLE DUP ACK seq 60, CWND=4
Round 62: TRIPLE DUP ACK seq 61, CWND=4
Round 63: TRIPLE DUP ACK seq 62, CWND=4
Round 64: TRIPLE DUP ACK seq 63, CWND=4
Round 65: TRIPLE DUP ACK seq 64, CWND=4
Round 66: TRIPLE DUP ACK seq 65, CWND=4
Round 67: TRIPLE DUP ACK seq 66, CWND=4
Round 68: TRIPLE DUP ACK seq 67, CWND=4
Round 69: TRIPLE DUP ACK seq 68, CWND=4
Round 70: TRIPLE DUP ACK seq 69, CWND=4
Round 71: TRIPLE DUP ACK seq 70, CWND=4
Round 72: TRIPLE DUP ACK seq 71, CWND=4
Round 73: TRIPLE DUP ACK seq 72, CWND=4
