TimeIndex,SampleRTT,EstimatedRTT,TimeoutInterval
1,0,437.50,1175
2,0,382.81,1318
3,1,335.09,1371
4,1,293.33,1362
5,0,256.66,1315
6,1,224.70,1242
7,1,196.74,1155
8,1,172.27,1062
9,4,151.24,966
10,1,132.46,875
11,0,115.90,788
12,0,101.41,707
13,1,88.86,631
14,0,77.75,562
15,0,68.03,499
16,1,59.66,441
17,0,52.20,391
18,0,45.67,345
19,0,39.96,304
20,1,35.09,267
21,0,30.71,235
22,0,26.87,207
23,0,23.51,182
24,0,20.57,160
25,0,18.00,140
26,0,15.75,123
27,0,13.78,108
28,0,12.06,100
29,1,10.68,100
30,0,9.34,100
31,0,8.17,100
32,0,7.15,100
33,1,6.38,100
34,0,5.59,100
35,0,4.89,100
36,1,4.40,100
37,0,3.85,100
