Round,CWND,SSThresh,Phase,Event,FastRecovery,DupACKs
1,1,1,Slow Start,Timeout,false,0
2,2,1,Congestion Avoidance,ACK Received,false,0
3,3,1,Congestion Avoidance,ACK Received,false,0
4,4,1,Congestion Avoidance,ACK Received,false,0
5,1,2,Slow Start,Timeout,false,0
6,2,2,Slow Start,ACK Received,false,0
7,3,2,Congestion Avoidance,ACK Received,false,0
8,4,2,Congestion Avoidance,ACK Received,false,0
9,5,2,Congestion Avoidance,ACK Received,false,0
10,6,2,Congestion Avoidance,ACK Received,false,0
11,1,3,Slow Start,Timeout,false,0
12,4,1,Fast Recovery,Triple Dup ACK,true,3
13,1,1,Congestion Avoidance,Exit Fast Recovery,false,0
14,2,1,Congestion Avoidance,ACK Received,false,0
15,3,1,Congestion Avoidance,ACK Received,false,0
16,4,1,Congestion Avoidance,ACK Received,false,0
17,5,1,Congestion Avoidance,ACK Received,false,0
18,6,1,Congestion Avoidance,ACK Received,false,0
19,7,1,Congestion Avoidance,ACK Received,false,0
20,8,1,Congestion Avoidance,ACK Received,false,0
21,9,1,Congestion Avoidance,ACK Received,false,0
22,10,1,Congestion Avoidance,ACK Received,false,0
23,11,1,Congestion Avoidance,ACK Received,false,0
24,12,1,Congestion Avoidance,ACK Received,false,0
25,13,1,Congestion Avoidance,ACK Received,false,0
26,14,1,Congestion Avoidance,ACK Received,false,0
27,15,1,Congestion Avoidance,ACK Received,false,0
28,16,1,Congestion Avoidance,ACK Received,false,0
29,17,1,Congestion Avoidance,ACK Received,false,0
30,18,1,Congestion Avoidance,ACK Received,false,0
31,19,1,Congestion Avoidance,ACK Received,false,0
32,20,1,Congestion Avoidance,ACK Received,false,0
33,21,1,Congestion Avoidance,ACK Received,false,0
34,22,1,Congestion Avoidance,ACK Received,false,0
35,23,1,Congestion Avoidance,ACK Received,false,0
36,24,1,Congestion Avoidance,ACK Received,false,0
37,1,12,Slow Start,Timeout,false,0
38,2,12,Slow Start,ACK Received,false,0
39,4,12,Slow Start,ACK Received,false,0
40,8,12,Slow Start,ACK Received,false,0
41,16,12,Slow Start,ACK Received,false,0
42,17,12,Congestion Avoidance,ACK Received,false,0
