Round,CWND
1,2
2,3
3,2
4,3
5,4
6,5
7,2
8,2
9,2
10,3
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,3
35,4
36,5
37,6
38,7
39,8
40,2
41,2
42,2
43,3
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,3
52,4
53,5
54,6
55,7
56,2
57,2
58,2
59,3
60,4
61,5
62,6
63,7
64,8
65,9
66,2
67,4
68,8
69,9
70,10
71,11
72,12
73,13
74,14
75,15
76,2
77,4
78,8
79,9
80,10
81,11
82,12
83,13
84,14
85,15
86,16
87,17
88,2
89,4
90,8
91,16
92,17
93,18
94,19
95,20
96,21
97,22
98,23
99,24
100,25
101,26
102,27
103,28
104,29
105,2
106,4
107,8
108,16
109,17
110,18
111,19
112,20
113,21
114,22
115,23
116,24
117,25
118,2
119,4
120,8
121,16
122,17
123,18
124,19
125,20
126,2
127,4
128,8
129,16
130,17
131,18
132,19
133,20
134,21
135,22
136,23
137,24
138,25
139,26
140,27
141,28
142,29
143,30
144,31
145,32
146,33
147,34
148,35
149,2
150,4
151,8
152,16
153,32
154,33
155,34
156,35
157,36
158,2
159,4
160,8
161,2
162,2
163,3
164,4
165,5
166,6
167,7
168,8
169,9
170,10
171,11
172,12
173,13
174,14
175,15
176,16
177,17
178,18
179,19
180,20
181,21
182,22
183,23
184,24
185,25
186,26
187,27
188,2
189,4
190,8
191,16
192,17
193,18
194,19
195,2
196,2
197,2
198,3
199,4
200,5
201,6
202,7
203,8
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,3
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,3
239,4
240,2
241,2
242,3
243,4
244,5
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,3
273,4
274,5
275,6
276,2
277,4
278,5
279,2
280,2
281,2
282,2
283,2
284,2
285,3
286,4
287,5
288,6
289,7
290,8
