TimeIndex,SampleRTT,EstimatedRTT,TimeoutInterval
1,20,440.00,1160
2,0,385.00,1310
3,1,337.00,1366
4,0,294.88,1362
5,0,258.02,1316
6,0,225.76,1245
7,0,197.54,1159
8,0,172.85,1067
9,0,151.24,973
10,0,132.34,881
11,0,115.80,793
12,0,101.32,710
13,1,88.78,633
14,0,77.68,564
15,0,67.97,500
16,0,59.48,443
17,0,52.04,392
18,0,45.54,346
19,0,39.84,305
20,6,35.61,264
21,0,31.16,233
22,6,28.02,201
23,0,24.51,179
24,0,21.45,159
25,0,18.77,140
26,0,16.42,124
27,0,14.37,109
28,0,12.57,100
29,0,11.00,100
30,0,9.63,100
31,1,8.55,100
32,0,7.48,100
33,0,6.54,100
34,6,6.48,100
35,0,5.67,100
36,0,4.96,100
37,0,4.34,100
