Round,CWND,SSThresh,Phase,Event
1,2.0,16.0,Slow Start,ACK Received
2,4.0,16.0,Slow Start,ACK Received
3,8.0,16.0,Slow Start,ACK Received
4,16.0,16.0,Slow Start,ACK Received
5,17.0,16.0,Congestion Avoidance,ACK Received
6,18.0,16.0,Congestion Avoidance,ACK Received
7,19.0,16.0,Congestion Avoidance,ACK Received
8,20.0,16.0,Congestion Avoidance,ACK Received
9,21.0,16.0,Congestion Avoidance,ACK Received
10,22.0,16.0,Congestion Avoidance,ACK Received
11,23.0,16.0,Congestion Avoidance,ACK Received
12,24.0,16.0,Congestion Avoidance,ACK Received
13,25.0,16.0,Congestion Avoidance,ACK Received
14,26.0,16.0,Congestion Avoidance,ACK Received
15,1.0,13.0,Slow Start,Packet Loss
16,2.0,13.0,Slow Start,ACK Received
17,4.0,13.0,Slow Start,ACK Received
18,8.0,13.0,Slow Start,ACK Received
19,16.0,13.0,Slow Start,ACK Received
20,17.0,13.0,Congestion Avoidance,ACK Received
21,18.0,13.0,Congestion Avoidance,ACK Received
22,19.0,13.0,Congestion Avoidance,ACK Received
23,20.0,13.0,Congestion Avoidance,ACK Received
24,21.0,13.0,Congestion Avoidance,ACK Received
25,22.0,13.0,Congestion Avoidance,ACK Received
26,23.0,13.0,Congestion Avoidance,ACK Received
27,24.0,13.0,Congestion Avoidance,ACK Received
28,25.0,13.0,Congestion Avoidance,ACK Received
29,26.0,13.0,Congestion Avoidance,ACK Received
30,27.0,13.0,Congestion Avoidance,ACK Received
31,28.0,13.0,Congestion Avoidance,ACK Received
32,29.0,13.0,Congestion Avoidance,ACK Received
33,30.0,13.0,Congestion Avoidance,ACK Received
34,31.0,13.0,Congestion Avoidance,ACK Received
35,1.0,15.5,Slow Start,Packet Loss
36,2.0,15.5,Slow Start,ACK Received
37,4.0,15.5,Slow Start,ACK Received
38,8.0,15.5,Slow Start,ACK Received
39,16.0,15.5,Slow Start,ACK Received
40,17.0,15.5,Congestion Avoidance,ACK Received
41,18.0,15.5,Congestion Avoidance,ACK Received
42,19.0,15.5,Congestion Avoidance,ACK Received
43,20.0,15.5,Congestion Avoidance,ACK Received
44,21.0,15.5,Congestion Avoidance,ACK Received
45,22.0,15.5,Congestion Avoidance,ACK Received
46,23.0,15.5,Congestion Avoidance,ACK Received
47,24.0,15.5,Congestion Avoidance,ACK Received
48,25.0,15.5,Congestion Avoidance,ACK Received
49,26.0,15.5,Congestion Avoidance,ACK Received
50,27.0,15.5,Congestion Avoidance,ACK Received
51,28.0,15.5,Congestion Avoidance,ACK Received
52,29.0,15.5,Congestion Avoidance,ACK Received
53,30.0,15.5,Congestion Avoidance,ACK Received
54,31.0,15.5,Congestion Avoidance,ACK Received
55,32.0,15.5,Congestion Avoidance,ACK Received
56,33.0,15.5,Congestion Avoidance,ACK Received
57,34.0,15.5,Congestion Avoidance,ACK Received
58,35.0,15.5,Congestion Avoidance,ACK Received
59,36.0,15.5,Congestion Avoidance,ACK Received
60,1.0,18.0,Slow Start,Packet Loss
61,2.0,18.0,Slow Start,ACK Received
62,4.0,18.0,Slow Start,ACK Received
63,8.0,18.0,Slow Start,ACK Received
64,16.0,18.0,Slow Start,ACK Received
65,32.0,18.0,Slow Start,ACK Received
66,33.0,18.0,Congestion Avoidance,ACK Received
67,34.0,18.0,Congestion Avoidance,ACK Received
68,35.0,18.0,Congestion Avoidance,ACK Received
69,36.0,18.0,Congestion Avoidance,ACK Received
70,37.0,18.0,Congestion Avoidance,ACK Received
71,38.0,18.0,Congestion Avoidance,ACK Received
72,39.0,18.0,Congestion Avoidance,ACK Received
73,40.0,18.0,Congestion Avoidance,ACK Received
74,41.0,18.0,Congestion Avoidance,ACK Received
75,42.0,18.0,Congestion Avoidance,ACK Received
76,43.0,18.0,Congestion Avoidance,ACK Received
77,44.0,18.0,Congestion Avoidance,ACK Received
78,45.0,18.0,Congestion Avoidance,ACK Received
79,46.0,18.0,Congestion Avoidance,ACK Received
80,47.0,18.0,Congestion Avoidance,ACK Received
81,48.0,18.0,Congestion Avoidance,ACK Received
82,49.0,18.0,Congestion Avoidance,ACK Received
83,50.0,18.0,Congestion Avoidance,ACK Received
84,51.0,18.0,Congestion Avoidance,ACK Received
85,1.0,25.5,Slow Start,Packet Loss
86,2.0,25.5,Slow Start,ACK Received
87,4.0,25.5,Slow Start,ACK Received
88,8.0,25.5,Slow Start,ACK Received
89,16.0,25.5,Slow Start,ACK Received
90,32.0,25.5,Slow Start,ACK Received
91,33.0,25.5,Congestion Avoidance,ACK Received
92,34.0,25.5,Congestion Avoidance,ACK Received
93,35.0,25.5,Congestion Avoidance,ACK Received
94,36.0,25.5,Congestion Avoidance,ACK Received
95,37.0,25.5,Congestion Avoidance,ACK Received
96,38.0,25.5,Congestion Avoidance,ACK Received
97,39.0,25.5,Congestion Avoidance,ACK Received
98,40.0,25.5,Congestion Avoidance,ACK Received
99,41.0,25.5,Congestion Avoidance,ACK Received
100,42.0,25.5,Congestion Avoidance,ACK Received
