Round,CWND,SSThresh,Phase,Event,FastRecovery,DupACKs
1,2,8,Slow Start,ACK Received,false,0
4,5,2,Fast Recovery,Triple Dup ACK,true,3
5,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
8,5,2,Fast Recovery,Triple Dup ACK,true,3
9,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
12,3,2,Congestion Avoidance,ACK Received,false,0
15,5,2,Fast Recovery,Triple Dup ACK,true,3
16,6,2,Fast Recovery,Additional Dup ACK,true,4
17,7,2,Fast Recovery,Additional Dup ACK,true,5
18,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
21,3,2,Congestion Avoidance,ACK Received,false,0
24,4,2,Congestion Avoidance,ACK Received,false,0
26,5,2,Congestion Avoidance,ACK Received,false,0
28,6,2,Congestion Avoidance,ACK Received,false,0
31,6,3,Fast Recovery,Triple Dup ACK,true,3
32,3,3,Congestion Avoidance,Exit Fast Recovery,false,0
35,4,3,Congestion Avoidance,ACK Received,false,0
38,5,3,Congestion Avoidance,ACK Received,false,0
41,6,3,Congestion Avoidance,ACK Received,false,0
44,6,3,Fast Recovery,Triple Dup ACK,true,3
45,7,3,Fast Recovery,Additional Dup ACK,true,4
46,8,3,Fast Recovery,Additional Dup ACK,true,5
47,3,3,Congestion Avoidance,Exit Fast Recovery,false,0
50,5,2,Fast Recovery,Triple Dup ACK,true,3
51,6,2,Fast Recovery,Additional Dup ACK,true,4
52,7,2,Fast Recovery,Additional Dup ACK,true,5
53,8,2,Fast Recovery,Additional Dup ACK,true,6
54,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
57,5,2,Fast Recovery,Triple Dup ACK,true,3
58,6,2,Fast Recovery,Additional Dup ACK,true,4
59,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
62,5,2,Fast Recovery,Triple Dup ACK,true,3
63,6,2,Fast Recovery,Additional Dup ACK,true,4
64,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
67,5,2,Fast Recovery,Triple Dup ACK,true,3
68,6,2,Fast Recovery,Additional Dup ACK,true,4
69,7,2,Fast Recovery,Additional Dup ACK,true,5
70,8,2,Fast Recovery,Additional Dup ACK,true,6
71,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
74,5,2,Fast Recovery,Triple Dup ACK,true,3
75,6,2,Fast Recovery,Additional Dup ACK,true,4
76,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
79,5,2,Fast Recovery,Triple Dup ACK,true,3
80,6,2,Fast Recovery,Additional Dup ACK,true,4
81,7,2,Fast Recovery,Additional Dup ACK,true,5
82,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
85,5,2,Fast Recovery,Triple Dup ACK,true,3
86,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
89,5,2,Fast Recovery,Triple Dup ACK,true,3
90,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
93,5,2,Fast Recovery,Triple Dup ACK,true,3
94,6,2,Fast Recovery,Additional Dup ACK,true,4
95,7,2,Fast Recovery,Additional Dup ACK,true,5
96,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
99,5,2,Fast Recovery,Triple Dup ACK,true,3
100,6,2,Fast Recovery,Additional Dup ACK,true,4
101,7,2,Fast Recovery,Additional Dup ACK,true,5
102,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
105,5,2,Fast Recovery,Triple Dup ACK,true,3
106,6,2,Fast Recovery,Additional Dup ACK,true,4
107,7,2,Fast Recovery,Additional Dup ACK,true,5
108,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
111,5,2,Fast Recovery,Triple Dup ACK,true,3
112,6,2,Fast Recovery,Additional Dup ACK,true,4
113,7,2,Fast Recovery,Additional Dup ACK,true,5
114,8,2,Fast Recovery,Additional Dup ACK,true,6
115,9,2,Fast Recovery,Additional Dup ACK,true,7
116,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
119,5,2,Fast Recovery,Triple Dup ACK,true,3
120,6,2,Fast Recovery,Additional Dup ACK,true,4
121,7,2,Fast Recovery,Additional Dup ACK,true,5
122,8,2,Fast Recovery,Additional Dup ACK,true,6
123,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
126,5,2,Fast Recovery,Triple Dup ACK,true,3
127,6,2,Fast Recovery,Additional Dup ACK,true,4
128,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
131,5,2,Fast Recovery,Triple Dup ACK,true,3
132,2,2,Congestion Avoidance,Exit Fast Recovery,false,0
135,3,2,Congestion Avoidance,ACK Received,false,0
138,4,2,Congestion Avoidance,ACK Received,false,0
