Round,CWND,SSThresh,Phase,Event
1,2,8,Slow Start,ACK Received
2,1,2,Slow Start,Packet Loss
3,2,2,Slow Start,ACK Received
4,1,2,Slow Start,Packet Loss
5,2,2,Slow Start,ACK Received
6,3,2,Congestion Avoidance,ACK Received
7,1,2,Slow Start,Packet Loss
8,2,2,Slow Start,ACK Received
9,3,2,Congestion Avoidance,ACK Received
10,4,2,Congestion Avoidance,ACK Received
11,5,2,Congestion Avoidance,ACK Received
12,6,2,Congestion Avoidance,ACK Received
13,1,3,Slow Start,Packet Loss
14,2,3,Slow Start,ACK Received
15,4,3,Slow Start,ACK Received
16,5,3,Congestion Avoidance,ACK Received
17,6,3,Congestion Avoidance,ACK Received
18,1,3,Slow Start,Packet Loss
19,2,3,Slow Start,ACK Received
20,1,2,Slow Start,Packet Loss
21,2,2,Slow Start,ACK Received
22,1,2,Slow Start,Packet Loss
23,2,2,Slow Start,ACK Received
24,1,2,Slow Start,Packet Loss
25,2,2,Slow Start,ACK Received
26,1,2,Slow Start,Packet Loss
27,2,2,Slow Start,ACK Received
28,1,2,Slow Start,Packet Loss
29,2,2,Slow Start,ACK Received
30,1,2,Slow Start,Packet Loss
31,2,2,Slow Start,ACK Received
32,1,2,Slow Start,Packet Loss
33,2,2,Slow Start,ACK Received
34,1,2,Slow Start,Packet Loss
35,2,2,Slow Start,ACK Received
36,1,2,Slow Start,Packet Loss
37,2,2,Slow Start,ACK Received
38,1,2,Slow Start,Packet Loss
39,2,2,Slow Start,ACK Received
40,1,2,Slow Start,Packet Loss
41,2,2,Slow Start,ACK Received
42,1,2,Slow Start,Packet Loss
43,2,2,Slow Start,ACK Received
44,1,2,Slow Start,Packet Loss
45,2,2,Slow Start,ACK Received
46,1,2,Slow Start,Packet Loss
47,2,2,Slow Start,ACK Received
48,1,2,Slow Start,Packet Loss
49,2,2,Slow Start,ACK Received
50,3,2,Congestion Avoidance,ACK Received
51,4,2,Congestion Avoidance,ACK Received
